headline,Category,Snippet
"Cricket News: Cricket Live Score, Results, Upcoming match ...",Sport,"Aug 9, 2024 ... Latest Cricket News: Check live cricket scores, schedule, results, scorecard, upcoming matches list and ball by ball commentary along with ..."
White House sends a special message to the US cricket team ahead ...,Sport,"Jun 19, 2024 ... White House sends a special message to the US cricket team ahead of Super 8s in T20 World Cup - WATCH ... The USA, making their debut in the ICC ..."
Cognizant becomes title sponsor of Major League Cricket | Cricket ...,Sport,"Mar 14, 2024 ... Cricket News: Major League Cricket has partnered with Cognizant as the first-ever title sponsor of America's premier cricket championship, ..."
ICC Cricket Match Schedule 2024: India Upcoming Cricket Matches ...,Sport,"Check all the upcoming cricket schedules for all ODIs, Tests, T20Is cricket series that will be played by Indian cricket team. Upcoming schedule of ..."
Top 10 largest cricket stadiums in the world 2024 | World News ...,Sport,"Jul 18, 2024 ... World News: Explore the top 10 largest cricket stadiums in the world like Narendra Modi Stadium, Melbourne Cricket Ground, Eden Gardens, ..."
"Oracle reacts to its ""cricket star"" engineer's performance against ...",Sport,"Jun 8, 2024 ... India-origin software engineer Saurabh Netravalkar praised by social media for bowling performance against Pakistan in ICC Men's T20 World Cup ..."
A wicked wicket world: Spicy pitches enliven Test cricket,Sport,"Jan 5, 2024 ... Benign pitches have turned bowlers into beasts of burden while bestowing the status of badshah on ordinary batters, helping them grind out daddy ..."
Major League Cricket: Washington Freedom vs Texas Super Kings ...,Sport,"Jul 9, 2024 ... Cricket News: The 2024 Major League Cricket match between Washington Freedom and Texas Super Kings was called off due to rain, ..."
India vs USA: US cricket team closing in on major success at 2024 ...,Sport,"Jun 12, 2024 ... The US national cricket team, despite being relatively unknown in America, has made a significant impact by defeating Pakistan at the 2024 T20 ..."
Stuart Law named as head coach of USA cricket team ahead of T20 ...,Sport,"Apr 18, 2024 ... Cricket News: Stuart Law, a former Australian cricketer and member of 1996 ICC Men's Cricket World Cup runner-up, has been appointed as the ..."
The cricket ball comparison: SG vs Kookaburra vs Dukes explained ...,Sport,"Feb 11, 2021 ... The SG ball is also hand-stitched and has been used in India for Test matches since 1994. The seam of the SG ball is more prominent and the ..."
David Johnson: Former Indian Test cricketer David Johnson passes ...,Sport,"Jun 20, 2024 ... Cricket News: Former Indian cricketer David Johnson, a 52-year-old fast bowler, died in Bengaluru after falling from his balcony."
Canada's transgender cricketer Danielle McGahey quits after ICC ...,Sport,"Nov 22, 2023 ... Cricket News: Canadian transgender cricketer Danielle McGahey has brought an end to her international career after the game's governing body ..."
Mumbai Cricket Association president Amol Kale dies of cardiac ...,Sport,"Jun 10, 2024 ... Cricket News: In a shocking development, which sent Mumbai cricket into a pall of gloom. Mumbai Cricket Association president Amol Kale ..."
"USA wants to excel in every sport it plays, including cricket: MLC ...",Sport,"Jul 5, 2024 ... Cricket News: Sanjay Govil, who is the founder and chairman of Infinite Computer Solutions and owner of MLC franchise Washington Freedom, ..."
ICC puts USA Cricket on notice for 'non-compliance' | Cricket News ...,Sport,"Jul 22, 2024 ... Cricket News: The International Cricket Council on Monday issued a warning to USA Cricket, demanding compliance with the organization's ..."
MLC Points Table 2024: Major League Cricket (MLC) 2024 Points ...,Sport,"Jul 5, 2024 ... MLC 2024 Points Table: Points table of the Major League Cricket (MLC) 2024 with teams standings including their win, loss, tie, ..."
"Sports News: Latest Cricket News, Live Match Scores & Sports ...",Sport,"The Times of India Sports gives you latest sports news, cricket score, live cricket score, wwe results and milestones; covers all sporting events, ..."
"Major League Cricket: MLC 2024 Full schedule, timings, venue ...",Sport,"Jul 8, 2024 ... The MLC's second season is scheduled to start on July 5, shortly after the conclusion of the T20 World Cup, which is being jointly hosted by the ..."
